number;agent;group;volume;year;informations
202-94-8;11H-Benz[<i>bc</i>]aceanthrylene;3;92;2010;
202-98-2;4H-Cyclopenta[<i>def</i>]chrysene;3;92;2010;
203-12-3;Benzo[<i>ghi</i>]fluoranthene;3;92, Sup 7;2010;
203-20-3;Naphtho[2,1-<i>a</i>]fluoranthene;3;92;2010;
203-33-8;Benzo[<i>a</i>]fluoranthene;3;92, Sup 7;2010;
205-12-9;Benzo[<i>c</i>]fluorene;3;92, Sup 7;2010;
205-82-3;Benzo[<i>j</i>]fluoranthene;2B;92;2010;
205-99-2;Benzo[<i>b</i>]fluoranthene;2B;92;2010;
206-44-0;Fluoranthene;3;Sup 7, 92;2010;
207-08-9;Benzo[<i>k</i>]fluoranthene;2B;92;2010;
207-83-0;13H-Dibenzo[<i>a</i>,<i>g</i>]fluorene;3;92;2010;
211-91-6;Benz[<i>l</i>]aceanthrylene;3;92;2010;
213-46-7;Picene;3;92;2010;
214-17-5;Benzo[<i>b</i>]chrysene;3;92;2010;
215-58-7;Dibenz[<i>a</i>,<i>c</i>]anthracene;3;Sup 7, 92;2010;
217-59-4;Triphenylene;3;Sup 7, 92;2010;
218-01-9;Chrysene;2B;92;2010;
224-41-9;Dibenz[<i>a</i>,<i>j</i>]anthracene;3;Sup 7, 92;2010;
224-42-0;Dibenz[<i>a</i>,<i>j</i>]acridine;2A;32, Sup 7, 103;2013;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
224-53-3;Dibenz[<i>c</i>,<i>h</i>]acridine;2B;103;2013;NB: Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data
225-11-6;Benz[<i>a</i>]acridine;3;32, Sup 7, 103;2013;
225-51-4;Benz[<i>c</i>]acridine;3;32, Sup 7, 103;2013;
226-36-8;Dibenz[<i>a</i>,<i>h</i>]acridine;2B;32, Sup 7, 103;2013;
238-84-6;Benzo[<i>a</i>]fluorene;3;92, Sup 7;2010;
239-35-0;Benzo[<i>b</i>]naphtho[2,1-d]thiophene;3;103;2013;
243-17-4;Benzo[<i>b</i>]fluorene;3;92, Sup 7;2010;
262-12-4;Dibenzo-<i>para</i>-dioxin;3;69;1997;
271-89-6;Benzofuran;2B;63;1995;
298-00-0;Methyl parathion;3;30, Sup 7;1987;
298-81-7;Methoxsalen (8-methoxypsoralen) plus ultraviolet A radiation;1;24, Sup 7, 100A;2012;
299-75-2;Treosulfan;1;26, Sup 7, 100A;2012;
302-01-2;Hydrazine;2A;4, Sup 7, 71, 115;In prep.;
302-17-0;Chloral hydrate;2A;63, 84, 106;2014;
303-34-4;Lasiocarpine;2B;10, Sup 7;1987;
303-47-9;Ochratoxin A;2B;Sup 7, 56;1993;
305-03-3;Chlorambucil;1;26, Sup 7, 100A;2012;
309-00-2;Aldrin (see Dieldrin, and aldrin metabolized to dieldrin);;;;
313-67-7;Aristolochic acid;1;82, 100A;2012;NB: Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
313-67-7;Aristolochic acid, plants containing;1;82, 100A;2012;
314-13-6;Evans blue;3;8, Sup 7;1987;
315-18-4;Zectran;3;12, Sup 7;1987;
315-22-0;Monocrotaline;2B;10, Sup 7;1987;
320-67-2;Azacitidine;2A;50;1990;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
331-39-5;Caffeic acid;2B;56;1993;
333-41-5;Diazinon;2A;112;2015 online;NB: Overall evaluation upgraded to Group 2A based on mechanistic evidence
334-88-3;Diazomethane;3;7, Sup 7;1987;
335-67-1;Perfluorooctanoic acid (PFOA);2B;110;2016;
366-70-1;Procarbazine hydrochloride;2A;26, Sup 7;1987;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
396-01-0;Triamterene;2B;108;2016;
420-12-2;Ethylene sulfide;3;11, Sup 7;1987;
439-14-5;Diazepam;3;Sup 7, 66;1996;
443-48-1;Metronidazole;2B;13, Sup 7;1987;
446-86-6;Azathioprine;1;26, Sup 7, 100A;2012;
480-54-6;Retrorsine;3;10, Sup 7;1987;
480-81-9;Seneciphylline;3;10, Sup 7;1987;
484-20-8;5-Methoxypsoralen;2A;40, Sup 7;1987;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
492-17-1;2,4'-Diphenyldiamine;3;16, Sup 7;1987;
492-80-8;Auramine;2B;1, Sup 7, 99, 100F;2012;
493-52-7;Methyl red;3;8, Sup 7;1987;
494-03-1;Chlornaphazine;1;4, Sup 7, 100A;2012;
494-03-1;<i>N</i>,<i>N</i>-Bis(2-chloroethyl)-2-naphthylamine (see Chlornaphazine);;;;
494-38-2;Acridine orange;3;16, Sup 7;1987;
501-30-4;Kojic acid;3;79;2001;
505-60-2;Mustard gas (see Sulfur mustard);;;;
505-60-2;Sulfur mustard;1;9, Sup 7, 100F;2012;
509-14-8;Tetranitromethane;2B;65;1996;
510-15-6;Chlorobenzilate;3;30, Sup 7;1987;
513-37-1;1-Chloro-2-methylpropene;2B;63;1995;
518-75-2;Citrinin;3;40, Sup 7;1987;
520-18-3;Kaempferol;3;31, Sup 7;1987;
523-44-4;CI Acid Orange 20;3;8, Sup 7;1987;
523-44-4;Orange I (see CI Acid Orange 20);;;;
523-50-2;Angelicin plus ultraviolet A radiation;3;40, Sup 7;1987;
531-76-0;Merphalan;2B;9, Sup 7;1987;
531-82-8;<i>N</i>-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide;2B;7, Sup 7;1987;
532-82-1;Chrysoidine;3;8, Sup 7;1987;
536-33-4;Ethionamide;3;13, Sup 7;1987;
540-73-8;1,2-Dimethylhydrazine;2A;4, Sup 7,  71;1999;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
541-73-1;<i>meta</i>-Dichlorobenzene;3;73;1999;
542-75-6;1,3-Dichloropropene (technical-grade);2B;41, Sup 7, 71;1999;
542-78-9;Malonaldehyde;3;36, Sup 7, 71;1999;
"542-88-1<br/>
107-30-2";"Bis(chloromethyl)ether; chloromethyl methyl ether (technical-grade)";1;4, Sup 7, 100F;2012;
545-06-2;Trichloroacetonitrile;3;52, 71;1999;
545-55-1;Tris(1-aziridinyl)phosphine oxide;3;9, Sup 7;1987;
551-74-6;Mannomustine dihydrochloride;3;9, Sup 7;1987;
555-84-0;1-[(5-Nitrofurfurylidene)amino]-2-imidazolidinone;2B;7, Sup 7;1987;
556-52-5;Glycidol;2A;77;2000;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
562-10-7;Doxylamine succinate;3;79;2001;
563-41-7;Semicarbazide hydrochloride;3;12, Sup 7;1987;
563-47-3;3-Chloro-2-methylpropene, technical grade;2B;63, 115;In prep.;
569-61-9;CI Basic Red 9;2B;57, 99;2010;
581-89-5;2-Nitronaphthalene;3;46;1989;
592-62-1;Methylazoxymethanol acetate;2B;10, Sup 7;1987;
593-60-2;Vinyl bromide;2A;39, Sup 7, 71, 97;2008;"NB: (1) Overall evaluation upgraded to Group 2A based on mechanistic and other relevant data;
(2) For practical purposes, vinyl bromide should be considered to act similarly to the human carcinogen vinyl chloride"
593-70-4;Chlorofluoromethane;3;41, Sup 7, 71;1999;
598-55-0;Methyl carbamate;3;12, Sup 7;1987;
599-79-1;Sulfasalazine;2B;108;2016;
602-60-8;9-Nitroanthracene;3;33, Sup 7;1987;
602-87-9;5-Nitroacenaphthene;2B;16, Sup 7;1987;
604-75-1;Oxazepam;2B;Sup 7, 66;1996;
606-20-2;2,6-Dinitrotoluene;2B;65;1996;
607-57-8;2-Nitrofluorene;2B;46, 105;2013;
609-20-1;2,6-Dichloro-<i>para</i>-phenylenediamine;3;39, Sup 7;1987;
613-35-4;<i>N</i>,<i>N</i>'-Diacetylbenzidine;2B;16, Sup 7;1987;
615-05-4;2,4-Diaminoanisole;2B;Sup 7, 79;2001;
615-53-2;<i>N</i>-Methyl-<i>N</i>-nitrosourethane;2B;4, Sup 7;1987;
618-85-9;3,5-Dinitrotoluene;3;65;1996;
621-64-7;<i>N</i>-Nitrosodi-<i>n</i>-propylamine;2B;17, Sup 7;1987;
627-12-3;<i>n</i>-Propyl carbamate;3;12, Sup 7;1987;
630-20-6;1,1,1,2-Tetrachloroethane;2B;41, Sup 7, 71, 106;2014;
631-64-1;Dibromoacetic acid;2B;101;2013;
632-99-5;Magenta;2B;Sup 7, 57, 99, 100F;2012;
637-07-0;Clofibrate;3;Sup 7, 66;1996;
641-48-5;Dihydroaceanthrylene;3;92;2010;
680-31-9;Hexamethylphosphoramide;2B;15, Sup 7, 71;1999;
684-93-5;<i>N</i>-Methyl-<i>N</i>-nitrosourea;2A;17, Sup 7;1987;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
693-98-1;2-Methylimidazole;2B;101;2013;
712-68-5;2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole;2B;7, Sup 7;1987;
723-46-6;Sulfamethoxazole;3;Sup 7, 79;2001;
759-73-9;<i>N</i>-Ethyl-<i>N</i>-nitrosourea;2A;17, Sup 7;1987;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
765-34-4;Glycidaldehyde;2B;11, Sup 7, 71;1999;
789-07-1;2-Nitropyrene;3;46;1989;
794-93-4;Dihydroxymethylfuratrizine (see also Panfuran S);3;24, Sup 7;1987;
794-93-4;Panfuran S (containing dihydroxymethylfuratrizine);2B;24, Sup 7;1987;
800-24-8;Aziridyl benzoquinone;3;9, Sup 7;1987;
804-36-4;Nitrovin;3;31, Sup 7;1987;
817-09-4;Trichlormethine (Trimustine hydrochloride);2B;Sup 7, 50;1990;
822-36-6;4-Methylimidazole;2B;101;2013;
828-00-2;Dimethoxane;3;15, Sup 7;1987;
832-69-9;1-Methylphenanthrene;3;Sup 7, 92;2010;
838-88-0;4,4'-Methylene bis(2-methylaniline);2B;4, Sup 7;1987;
842-07-9;Sudan I;3;8, Sup 7;1987;
846-50-4;Temazepam;3;66;1996;
868-85-9;Dimethyl hydrogen phosphite;3;48, 71;1999;
892-21-7;3-Nitrofluoranthene;3;33, Sup 7;1987;
915-67-3;Amaranth;3;8, Sup 7;1987;
924-16-3;<i>N</i>-Nitrosodi-<i>n</i>-butylamine;2B;17, Sup 7;1987;
930-55-2;<i>N</i>-Nitrosopyrrolidine;2B;17, Sup 7;1987;
989-38-8;Rhodamine 6G;3;16, Sup 7;1987;
1071-83-6;Glyphosate;2A;112;2015 online;
1072-52-2;2-(1-Aziridinyl)ethanol;3;9, Sup 7;1987;
1116-54-7;<i>N</i>-Nitrosodiethanolamine;2B;17, Sup 7, 77;2000;
1120-71-4;1,3-Propane sultone;2A;4, Sup 7, 71, 110;2016;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
1143-38-0;Dithranol;3;"13; Sup 7";1987;
1163-19-5;Decabromodiphenyl oxide;3;48, 71;1999;
1303-00-0;Gallium arsenide (see Arsenic and inorganic arsenic compounds);;86, 100C;2012;
1309-37-1;Ferric oxide;3;1, Sup 7;1987;
1309-64-4;Antimony trioxide;2B;47;1989;
1314-62-1;Vanadium pentoxide;2B;86;2006;
1317-60-8;Haematite;3;1, Sup 7;1987;
1318-02-1;Zeolites other than erionite (clinoptilolite, phillipsite,mordenite, non-fibrous Japanese zeolite, synthetic zeolites);3;68;1997;
1330-20-7;Xylenes;3;47, 71;1999;
"1332-21-4<br/>
77536-67-5*<br/>
12172-73-5<br/>
77536-66-4*<br/>
12001-29-5<br/>
12001-28-4<br/>
77536-68-6*";Asbestos (all forms, including actinolite, amosite, anthophyllite, chrysotile, crocidolite, tremolite);1;14, Sup 7, 100C;2012;"NB: Mineral substances (e.g. talc or vermiculite) that contain asbestos should also be regarded as carcinogenic to humans<br/>
*The presence of an asterisk indicates that the registration is for a substance which CAS does not treat in its regular CA index"
1333-86-4;Carbon black;2B;Sup 7, 65, 93;2010;
1336-36-3;Polychlorinated biphenyls;1;18, Sup 7, 107;2016;
1338-16-5;Iron sorbitol-citric acid complex;3;2, Sup 7;1987;
1345-04-6;Antimony trisulfide;3;47;1989;
1401-55-4;Tannic acid and tannins;3;10, Sup 7;1987;
1402-68-2;Aflatoxins;1;56, 82, 100F, Sup 7;2012;
1464-53-5;1,2:3,4-Diepoxybutane (see <i>Monographs</i> on 1,3-Butadiene);;11, Sup 7;1987;
1582-09-8;Trifluralin;3;53;1991;
1615-80-1;1,2-Diethylhydrazine;2B;4, Sup 7, 71;1999;
1634-04-4;Methyl <i>tert</i>-butyl ether;3;73;1999;
1675-54-3;Bisphenol A diglycidyl ether (Araldite);3;47, 71;1999;
1689-82-3;4-Hydroxyazobenzene;3;8, Sup 7;1987;
1694-09-3;Benzyl violet 4B;2B;16, Sup 7;1987;
1705-85-7;6-Methylchrysene;3;Sup 7, 92;2010;
1706-01-0;3-Methylfluoranthene;3;Sup 7, 92;2010;
1746-01-6;2,3,7,8-Tetrachlorodibenzo-<i>para</i>-dioxin;1;Sup 7, 69, 100F;2012;
1836-75-5;Nitrofen (technical-grade);2B;30, Sup 7;1987;
1897-45-6;Chlorothalonil;2B;Sup 7, 73;1999;
1912-24-9;Atrazine;3;53, 73;1999;NB: Overall evaluation downgraded to Group 3 with supporting evidence from other relevant data
01/02/1918;Picloram;3;53;1991;
1936-15-8;CI Orange G;3;8, Sup 7;1987;
1936-15-8;Orange G (see CI Orange G);;;;
1937-37-7;CI Direct Black 38 (see Benzidine, dyes metabolized to);;;;
1954-28-5;Triethylene glycol diglycidyl ether;3;11, Sup 7, 71;1999;
2068-78-2;Vincristine sulfate;3;26, Sup 7;1987;
2164-17-2;Fluometuron;3;30, Sup 7;1987;
2168-68-5;Bis(1-aziridinyl)morpholinophosphine sulfide;3;9, Sup 7;1987;
2243-62-1;1,5-Naphthalenediamine;3;27, Sup 7;1987;
2303-16-4;Diallate;3;30, Sup 7;1987;
2318-18-5;Senkirkine;3;31, Sup 7;1987;
2353-45-9;Fast Green FCF;3;16, Sup 7;1987;
2385-85-5;Mirex;2B;20, Sup 7;1987;
2386-90-5;Bis(2,3-epoxycyclopentyl)ether ;3;47, 71;1999;
01/06/2425;Captafol;2A;53;1991;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
2425-85-6;CI Pigment Red 3;3;57;1993;
2429-74-5;CI Direct Blue 15;2B;57;1993;
2432-99-7;11-Aminoundecanoic acid;3;39, Sup 7;1987;
2475-45-8;Disperse Blue 1;2B;48;1990;
2602-46-2;CI Direct Blue 6 (see Benzidine, dyes metabolized to);;;;
2646-17-5;Oil Orange SS;2B;8, Sup 7;1987;
2757-90-6;Agaritine;3;31, Sup 7;1987;
2783-94-0;Sunset Yellow FCF;3;8, Sup 7;1987;
2784-94-3;HC Blue No. 1;2B;57;1993;
2832-40-8;Disperse Yellow 3;3;48;1990;
2835-39-4;Allyl isovalerate;3;36, Sup 7, 71;1999;
04/01/2871;HC Red No. 3;3;57;1993;
2955-38-6;Prazepam;3;66;1996;
06/10/2973;Diisopropyl sulfate;2B;54, 71;1999;
3018-12-0;Dichloroacetonitrile;3;52, 71;1999;
3068-88-0;beta-Butyrolactone;2B;11, Sup 7, 71;1999;
3118-97-6;Sudan II;3;8, Sup 7;1987;
3173-72-6;1,5-Naphthalene diisocyanate;3;19, Sup 7, 71;1999;
3252-43-5;Dibromoacetonitrile;2B;52, 71, 101;2013;
3296-90-0;2,2-Bis(bromomethyl)propane-1,3-diol;2B;77;2000;
3351-28-8;1-Methylchrysene;3;Sup 7, 92;2010;
3351-30-2;4-Methylchrysene;3;Sup 7, 92;2010;
3351-31-3;3-Methylchrysene;3;Sup 7, 92;2010;
3351-32-4;2-Methylchrysene;3;Sup 7, 92;2010;
08/09/3564;Ponceau 3R;2B;8, Sup 7;1987;
3567-69-9;Carmoisine;3;8, Sup 7;1987;
3570-75-0;2-(2-Formylhydrazino)-4-(5-nitro-2-furyl)thiazole;2B;7, Sup 7;1987;
3688-53-7;AF-2 [2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide];2B;31, Sup 7;1987;
3697-24-3;5-Methylchrysene;2B;Sup 7, 92;2010;
3761-53-3;Ponceau MX;2B;8, Sup 7;1987;
3771-19-5;Nafenopin;2B;24, Sup 7;1987;
3778-73-2;Isophosphamide;3;26, Sup 7;1987;
3795-88-8;5-(Morpholinomethyl)-3-[(5-nitrofurfurylidene)­amino]-2-oxazolidinone;2B;7, Sup 7;1987;
3844-45-9;Brilliant Blue FCF, disodium salt;3;16, Sup 7;1987;
3902-71-4;4,5',8-Trimethylpsoralen;3;40, Sup 7;1987;
4063-41-6;4,5'-Dimethylangelicin plus ultraviolet A radiation;3;Sup 7;1987;
4170-30-3;Crotonaldehyde;3;63;1995;
04/03/4342;Dacarbazine;2B;26, Sup 7;1987;
4548-53-2;Ponceau SX;3;8, Sup 7;1987;
4549-40-0;<i>N</i>-Nitrosomethylvinylamine;2B;17, Sup 7;1987;
4657-93-6;5-Aminoacenaphthene;3;16, Sup 7;1987;
4680-78-8;Guinea Green B;3;16, Sup 7;1987;
5131-60-2;4-Chloro-<i>meta</i>-phenylenediamine;3;27, Sup 7;1987;
5141-20-8;Light Green SF;3;16, Sup 7;1987;
01/02/5160;D & C Red No. 9;3;Sup 7, 57;1993;
5307-14-2;1,4-Diamino-2-nitrobenzene;3;Sup 7, 57;1993;
5385-75-1;Dibenzo[<i>a</i>,<i>e</i>]fluoranthene;3;Sup 7, 92;2010;
5431-33-4;Glycidyl oleate;3;11, Sup 7;1987;
5456-28-0;Ethyl selenac;3;12, Sup 7;1987;
5522-43-0;1-Nitropyrene;2A;Sup 7, 46, 105;2014;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
5589-96-8;Bromochloroacetic acid;2B;101;2013;
5989-27-5;<i>d</i>-Limonene;3;56, 73;1999;NB: Overall evaluation downgraded to Group 3 with supporting evidence from other relevant data
6164-98-3;Chlordimeform;3;30, Sup 7;1987;
6358-53-8;Citrus Red No. 2;2B;8, Sup 7;1987;
6368-72-5;Sudan Red 7B;3;8, Sup 7;1987;
6373-74-6;CI Acid Orange 3;3;57;1993;
6416-57-5;Sudan Brown RR;3;8, Sup 7;1987;
6459-94-5;CI Acid Red 114;2B;57;1993;
6795-23-9;Aflatoxin M1;2B;56;1993;
6870-67-3;Jacobine;3;10, Sup 7;1987;
7099-43-6;5,6-Cyclopenteno-1,2-benzanthracene;3;92;2010;
7220-79-3;Methylene blue;3;108;2016;
7439-92-1;Lead;2B;23, Sup 7;1987;
7439-97-6;Mercury and inorganic mercury compounds;3;58;1993;
7440-02-0;Nickel, metallic and alloys;2B;Sup 7, 49;1990;
05/07/7440;Plutonium;1;78, 100D;2012;
7440-29-1;Thorium-232 and its decay products;1;78, 100D;2012;
7440-38-2;Arsenic and inorganic arsenic compounds;1;23, Sup 7, 100C;2012;
7440-41-7;Beryllium and beryllium compounds;1;Sup 7, 58, 100C;2012;
7440-43-9;Cadmium and cadmium compounds;1;58, 100C;2012;
7440-47-3;Chromium, metallic;3;Sup 7, 49;1990;
7440-48-4;Cobalt and cobalt compounds;2B;52;1991;NB: Evaluated as a group
7440-48-4;Cobalt metal without tungsten carbide;2B;86;2006;
"7440-48-4<br/>
12070-12-1";Cobalt metal with tungsten carbide;2A;86;2006;
05/09/7446;Sulfur dioxide;3;54;1992;
7460-84-6;Glycidyl stearate;3;11, Sup 7;1987;
7481-89-2;Zalcitabine;2B;76;2000;
08/02/7496;6-Nitrochrysene;2A;Sup 7, 46, 105;2014;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
7519-36-0;<i>N</i>-Nitrosoproline;3;17, Sup 7;1987;
7572-29-4;Dichloroacetylene;3;39, Sup 7, 71;1999;
7631-86-9;Silica, amorphous;3;Sup 7, 68;1997;
7647-01-0;Hydrochloric acid;3;54;1992;
7664-93-9;Strong-inorganic-acid mists containing sulfuric acid (see Acid mists);;;;
7722-84-1;Hydrogen peroxide;3;36, Sup 7, 71;1999;
02/01/7758;Potassium bromate;2B;Sup 7, 73;1999;
7758-19-2;Sodium chlorite;3;52;1991;
7782-49-2;Selenium and selenium compounds;3;9, Sup 7;1987;
8001-35-2;Toxaphene (Polychlorinated camphenes);2B;Sup 7, 79;2001;
8001-50-1;Terpene polychlorinates (Strobane®);3;5, Sup 7;1987;
8001-58-9;Creosotes;2A;Sup 7, 92;2010;
09/05/8002;Crude oil;3;45;1989;
8007-45-2;Coal tars (see Coal-tar distillation);;35, Sup 7;1987;
8007-45-2;Coal-tar distillation;1;92, 100F;2012;
03/07/8018;Acriflavinium chloride;3;13, Sup 7;1987;
8047-67-4;Saccharated iron oxide;3;2, Sup 7;1987;
8052-42-4;"Bitumens, extracts of steam-refined and air-refined; steam-refined, cracking-residue and air-refined bitumens (see Bitumens, occupational exposures)";;35, Sup 7;1987;
"8052-42-4<br/>
64741-56-6";Bitumens, occupational exposure to straight-run bitumens and their emissions during road paving;2B;103;2013;
01/07/9000;Carrageenan, native;3;31, Sup 7;1987;
9000-38-8;Kava extract;2B;108;2016;
9002-84-0;Polytetrafluoroethylene;3;19, Sup 7;1987;
9002-86-2;Polyvinyl chloride;3;19, Sup 7;1987;
9002-88-4;Polyethylene;3;19, Sup 7;1987;
9002-89-5;Polyvinyl alcohol;3;19, Sup 7;1987;
04/01/9003;Polyacrylic acid;3;19, Sup 7;1987;
9003-07-0;Polypropylene;3;19, Sup 7;1987;
9003-20-7;Polyvinyl acetate;3;19, Sup 7;1987;
9003-22-9;Vinyl chloride-vinyl acetate copolymers;3;19, Sup 7;1987;
9003-39-8;Polyvinyl pyrrolidone;3;19, Sup 7, 71;1987;
9003-53-6;Polystyrene;3;19, Sup 7;1987;
9003-54-7;Styrene-acrylonitrile copolymers;3;19, Sup .7;1987;
9003-55-8;Styrene-butadiene copolymers;3;19, Sup 7;1987;
9004-51-7;Iron-dextrin complex;3;2, Sup 7;1987;
9004-66-4;Iron-dextran complex;2B;2, Sup 7;1987;
9009-54-5;Polyurethane foams;3;19, Sup 7;1987;
9010-98-4;Polychloroprene;3;19, Sup 7;1987;
07/06/9011;Vinylidene chloride-vinyl chloride copolymers;3;19, Sup 7;1987;
9011-14-7;Polymethyl methacrylate;3;19, Sup 7;1987;
9016-87-9;Polymethylene polyphenyl isocyanate;3;19, Sup 7;1987;
10026-24-1;Cobalt sulfate and other soluble cobalt(II) salts;2B;86;2006;
10043-66-0;Iodine-131 (see Radioiodines);;;;
10043-92-2;Radon-222 and its decay products;1;43, 78, 100D;2012;
10048-13-2;Sterigmatocystin;2B;10, Sup 7;1987;
10048-32-5;Parasorbic acid;3;10, Sup 7;1987;
10098-97-2;Strontium-90 (see Fission products);;;;
10380-28-6;Copper 8-hydroxyquinoline;3;15, Sup 7;1987;
10540-29-1;Tamoxifen;1;66, 100A;2012;NB: There is also conclusive evidence that tamoxifen reduces the risk of contralateral breast cancer in breast cancer patients
10595-95-6;<i>N</i>-Nitrosomethylethylamine;2B;17, Sup 7;1987;
10599-90-3;Chloramine;3;84;2004;
11056-06-7;Bleomycins;2B;26, Sup 7;1987;NB: Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data
12001-79-5;Vitamin K substances;3;76;2000;
"12070-12-1<br/>
7440-48-4";Tungsten carbide with cobalt metal (see Cobalt metal with tungsten carbide);;;;
12122-67-7;Zineb;3;12, Sup 7;1987;
12174-11-7;Attapulgite (see Palygorskite);;;;
12174-11-7;Palygorskite (Attapulgite) (long fibres, > 5 micrometres);2B;68;1997;
12174-11-7;Palygorskite (Attapulgite)(short fibres, < 5 micrometres);3;68;1997;
12192-57-3;Aurothioglucose;3;13, Sup 7;1987;
12427-38-2;Maneb;3;12, Sup 7;1987;
12663-46-6;Cyclochlorotine;3;10, Sup 7;1987;
13010-47-4;1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea (CCNU);2A;26, Sup 7;1987;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
13045-94-8;Medphalan;3;9, Sup 7;1987;
13233-32-4;Radium-224 and its decay products;1;78, 100D;2012;
13256-22-9;<i>N</i>-Nitrososarcosine;2B;17, Sup 7;1987;
13292-46-1;Rifampicin;3;24, Sup 7;1987;
13463-67-7;Titanium dioxide;2B;47, 93;2010;
13483-18-6;1,2-Bis(chloromethoxy)ethane;3;"15; Sup 7, 71";1999;
13909-09-6;1-(2-Chloroethyl)-3-(4-methylcyclohexyl)-1-nitrosourea (Methyl-CCNU) (see Semustine);;;;
13909-09-6;Semustine [1-(2-Chloroethyl)-3-(4-methylcyclohexyl)-1-nitrosourea, Methyl-CCNU];1;Sup 7, 100A;2012;
13982-63-3;Radium-226 and its decay products;1;78, 100D;2012;
13983-17-0;Wollastonite;3;Sup 7, 68;1997;
14047-09-7;3,3?,4,4?-Tetrachloroazobenzene;2A;117;In prep.;NB: Overall evaluation upgraded to Group 2A
14484-64-1;Ferbam;3;12, Sup 7;1987;
14596-37-3;Phosphorus-32, as phosphate;1;78, 100D;2012;
14807-96-6;Talc containing asbestiform fibres (see Asbestos);;42, Sup 7;1987;
14807-96-6;Talc not containing asbestos or asbestiform fibres;3;42, Sup 7, 93;2010;
14807-96-6;Talc-based body powder (perineal use of);2B;93;2010;
14808-60-7;Silica dust, crystalline, in the form of quartz or cristobalite;1;Sup 7, 68, 100C;2012;
14901-08-7;Cycasin;2B;10, Sup 7;1987;
15086-94-9;Eosin;3;15, Sup 7;1987;
15262-20-1;Radium-228 and its decay products;1;78, 100D;2012;
15501-74-3;Sepiolite;3;Sup 7, 68;1997;
15503-86-3;Isatidine;3;10, Sup 7;1987;
15663-27-1;Cisplatin;2A;26, Sup 7;1987;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
15721-02-5;2,2',5,5'-Tetrachlorobenzidine;3;27, Sup 7;1987;
16065-83-1;Chromium (III) compounds;3;49;1990;
16071-86-6;CI Direct Brown 95 (see Benzidine, dyes metabolized to);;;;
"16543-55-8<br/>
64091-91-4";<i>N</i>'-Nitrosonornicotine (NNN) and 4-(<i>N</i>-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone (NNK);1;Sup 7, 89, 100E;2012;NB: Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
16568-02-8;Gyromitrin;3;31, Sup 7;1987;
16984-48-8;Fluorides (inorganic, used in drinking-water);3;27, Sup 7;1987;
17117-34-9;3-Nitrobenzanthrone;2B;105;2014;NB: Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data
18540-29-9;Chromium (VI) compounds;1;Sup 7, 49, 100C;2012;
18883-66-4;Streptozotocin;2B;17, Sup 7;1987;
20073-24-9;3-Carbethoxypsoralen;3;40, Sup 7;1987;
20268-51-3;7-Nitrobenz[<i>a</i>]anthracene;3;46;1989;
