number;agent;group;volume;year;informations
20589-63-3;3-Nitroperylene;3;46;1989;
20830-75-5;Digoxin;2B;108;2016;
20830-81-3;Daunomycin;2B;10, Sup 7;1987;
20941-65-5;Ethyl tellurac;3;12, Sup 7;1987;
21884-44-6;Luteoskyrin;3;10, Sup 7;1987;
22248-79-9;Tetrachlorvinphos;2B;30, Sup 7, 112;2017 online;
22349-59-3;1,4-Dimethylphenanthrene;3;Sup 7, 92;2010;
22398-80-7;Indium phosphide;2A;86;2006;NB: Overall evaluation upgraded to Group 2A
22506-53-2;3,9-Dinitrofluoranthene;2B;46, 65, 105;2013;
22571-95-5;Symphytine;3;31, Sup 7;1987;
22966-79-6;Oestradiol mustard;3;9, Sup 7;1987;
22975-76-4;4,4'-Dimethylangelicin plus ultraviolet A radiation;3;Sup 7;1987;
23214-92-8;Adriamycin;2A;10, Sup 7;1987;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
23246-96-0;Riddelliine;2B;10, Sup 7, 82;2002;
23255-93-8;Hycanthone mesylate;3;13, Sup 7;1987;
23537-16-8;Rugulosin;3;40, Sup 7;1987;
23746-34-1;Potassium bis(2-hydroxyethyl)dithiocarbamate;3;12, Sup 7;1987;
24560-98-3;<i>cis</i>-9,10-Epoxystearic acid;3;11, Sup 7, 71;1999;
24938-64-5;<i>para</i>-Aramid fibrils;3;68;1997;
25013-15-4;Vinyl toluene;3;60;1994;
25013-16-5;Butylated hydroxyanisole (BHA);2B;40, Sup 7;1987;
25038-54-4;Nylon 6;3;19, Sup 7;1987;
25732-74-5;Acepyrene (3,4-dihydrocyclopenta[<i>cd</i>]pyrene);3;92;2010;
25812-30-0;Gemfibrozil;3;66;1996;
25962-77-0;<i>trans</i>-2-[(Dimethylamino)methylimino]-5-[2-(5-nitro-2-furyl)-vinyl]-1,3,4-oxadiazole;2B;7, Sup 7;1987;
26148-68-5;A-alpha-C (2-Amino-9<i>H</i>-pyrido[2,3-<i>b</i>]indole);2B;40, Sup 7;1987;
26308-28-1;Ripazepam;3;66;1996;
26471-62-5;Toluene diisocyanates;2B;39, Sup 7, 71;1999;
26782-43-4;Hydroxysenkirkine;3;10, Sup 7;1987;
27208-37-3;Cyclopenta[<i>cd</i>]pyrene;2A;Sup 7, 92;2010;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
28434-86-8;3,3'-Dichloro-4,4'-diaminodiphenyl ether;2B;16, Sup 7;1987;
29069-24-7;Prednimustine;3;50;1990;
29291-35-8;<i>N</i>-Nitrosofolic acid;3;17, Sup 7;1987;
29767-20-2;Teniposide;2A;76;2000;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
29975-16-4;Estazolam;3;66;1996;
30310-80-6;<i>N</i>-Nitrosohydroxyproline;3;17, Sup 7;1987;
30516-87-1;Zidovudine (AZT);2B;76;2000;
33229-34-4;HC Blue No. 2;3;57;1993;
33419-42-0;Etoposide;1;76, 100A;2012;NB: Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
"33419-42-0<br/>
15663-27-1<br/>
11056-06-7";Etoposide in combination with cisplatin and bleomycin;1;76, 100A;2012;
33543-31-6;2-Methylfluoranthene;3;Sup 7, 92;2010;
37319-17-8;Pentosan polysulfate sodium;2B;108;2016;
37620-20-5;<i>N</i>'-Nitrosoanabasine (NAB);3;37, Sup 7, 89;2007;
38571-73-2;1,2,3-Tris(chloromethoxy)propane;3;15, Sup 7, 71;1999;
40762-15-0;Doxefazepam;3;66;1996;
42397-64-8;1,6-Dinitropyrene;2B;46, 105;2013;
42397-65-9;1,8-Dinitropyrene;2B;Sup 7, 46, 105;2013;
51264-14-3;Amsacrine;2B;76;2000;
51481-61-9;Cimetidine;3;50;1990;
51630-58-1;Fenvalerate;3;53;1991;
52645-53-1;Permethrin;3;53;1991;
52918-63-5;Deltamethrin;3;53;1991;
53973-98-1;Carrageenan, degraded (Poligeenan);2B;31, Sup 7;1987;
53973-98-1;Poligeenan (see Carrageenan, degraded);;;;
54749-90-5;Chlorozotocin;2A;50;1990;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
55557-01-2;<i>N</i>-Nitrosoguvacine;3;Sup 7, 85;2004;
55557-02-3;<i>N</i>-Nitrosoguvacoline;3;Sup 7, 85;2004;
56894-91-8;1,4-Bis(chloromethoxymethyl)benzene;3;"15; Sup 7, 71";1999;
57018-52-7;1-<i>tert</i>-Butoxypropan-2-ol;3;88;2006;
57117-31-4;2,3,4,7,8-Pentachlorodibenzofuran;1;100F;2012;NB: Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
57465-28-8;3,4,5,3’,4’-Pentachlorobiphenyl (PCB-126);1;100F;2012;See Polychlorinated biphenyls, dioxin-like, with a TEF according to WHO
57835-92-4;4-Nitropyrene;2B;46, 105;2013;
59277-89-3;Aciclovir;3;76;2000;
59536-65-1;Polybrominated biphenyls;2A;41, Sup 7, 107;2016;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data, namely mechanistic similarity with polychlorinated biphenyls classified in Group 1
59820-43-8;HC Yellow No. 4;3;57;1993;
"59865-13-3<br/>
79217-60-0";Ciclosporin (see Cyclosporine);;;;
"59865-13-3<br/>
79217-60-0";Cyclosporine;1;50, 100A;2012;
60102-37-6;Petasitenine;3;31, Sup 7;1987;
60153-49-3;3-(<i>N</i>-Nitrosomethylamino)propionitrile;2B;Sup 7, 85;2004;
62450-06-0;Trp-P-1 (3-Amino-1,4-dimethyl-5<i>H</i>-pyrido[4,3-<i>b</i>]indole);2B;31, Sup 7;1987;
62450-07-1;Trp-P-2 (3-Amino-1-methyl-5<i>H</i>-pyrido[4,3-<i>b</i>]indole);2B;31, Sup 7;1987;
63041-90-7;6-Nitrobenzo[<i>a</i>]pyrene;3;Sup 7, 46;1989;
64436-13-1;Arsenobetaine and other organic arsenic compounds that are not metabolized in humans;3;100C;2012;
64742-93-4;Bitumens, occupational exposure to oxidized bitumens and their emissions during roofing;2A;103;2013;
65271-80-9;Mitoxantrone;2B;76;2000;
65996-93-2;Coal-tar pitch;1;35, Sup 7, 100F;2012;
66733-21-9;Erionite;1;42, Sup 7, 100C;2012;
67730-10-3;Glu-P-2 (2-Aminodipyrido[1,2-<i>a</i>:3',2'-<i>d</i>]imidazole);2B;40, Sup 7;1987;
67730-11-4;Glu-P-1 (2-Amino-6-methyldipyrido[1,2-<i>a</i>:3',2'-<i>d</i>]imidazole);2B;40, Sup 7;1987;
68006-83-7;MeA-alpha-C (2-Amino-3-methyl-9<i>H</i>-pyrido[2,3-<i>b</i>]indole);2B;40, Sup 7;1987;
68308-34-9;Shale oils;1;35, Sup 7, 100F;2012;
68603-42-9;Coconut oil diethanolamine condensate;2B;101;2013;
69655-05-6;Didanosine;3;76;2000;
71267-22-6;<i>N</i>'-Nitrosoanatabine (NAT);3;37, Sup 7, 89;2007;
73459-03-7;5-Methylangelicin plus ultraviolet A radiation;3;Sup 7;1987;
75321-20-9;1,3-Dinitropyrene;2B;46, 105;2013;
76180-96-6;IQ (2-Amino-3-methylimidazo[4,5-<i>f</i>]quinoline);2A;Sup 7, 56;1993;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
77094-11-2;MeIQ (2-Amino-3,4-dimethylimidazo[4,5-<i>f</i>]quinoline);2B;Sup 7, 56;1993;
77439-76-0;3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5<i>H</i>)-furanone;2B;84;2004;
77500-04-0;MeIQx (2-Amino-3,8-dimethylimidazo[4,5-<i>f</i>]quinoxaline);2B;Sup 7, 56;1993;
82413-20-5;Droloxifene;3;66;1996;
83463-62-1;Bromochloroacetonitrile;3;52, 71;1999;
85502-23-4;3-(<i>N</i>-Nitrosomethylamino)propionaldehyde;3;Sup 7, 85;2004;
85878-62-2;Pyrido[3,4-<i>c</i>]psoralen;3;40, Sup 7;1987;
85878-63-3;7-Methylpyrido[3,4-<i>c</i>]psoralen;3;40, Sup 7;1987;
87625-62-5;Ptaquiloside;3;40, Sup 7;1987;
89778-26-7;Toremifene;3;66;1996;
90045-36-6;<i>Ginkgo biloba</i> extract;2B;108;2016;
90370-29-9;4,4',6-Trimethylangelicin plus ultraviolet A radiation;3;Sup 7;1987;
"90456-67-0 [deleted]<br/>
924-42-5";<i>N</i>-Methylolacrylamide;3;60;1994;
101043-37-2;Microcystin-LR;2B;94;2010;
105650-23-5;PhIP (2-Amino-1-methyl-6-phenylimidazo[4,5-<i>b</i>]pyridine);2B;56;1993;
105735-71-5;3,7-Dinitrofluoranthene;2B;46, 65, 105;2013;
111025-46-8;Pioglitazone;2A;108;2016;
111189-32-3;Naphtho[1,2-<i>b</i>]fluoranthene;3;92;2010;
116355-83-0;Fumonisin B<sub>1</sub>;2B;82;2002;
116355-83-0;<i>Fusarium moniliforme</i>, toxins derived from (fumonisin B<sub>1</sub>, fumonisin B<sub>2</sub>, and fusarin C);2B;56;1993;
118399-22-7;Nodularins;3;94;2010;
122320-73-4;Rosiglitazone;3;108;2016;
308068-56-6;Carbon nanotubes, multi-walled MWCNT-7;2B;111;In prep.;
308068-56-6;Carbon nanotubes, multi-walled, other than MWCNT-7;3;111;In prep.;
308068-56-6;Carbon nanotubes, single-walled;3;111;In prep.;
308068-56-6;Multi-walled carbon nanotubes MWCNT-7 (see Carbon nanotubes, multi-walled MWCNT-7);;;;
308068-56-6;Multi-walled carbon nanotubes other than MWCNT-7 (see Carbon nanotubes, multi-walled, other than MWCNT-7);;;;
308068-56-6;Single-walled carbon nanotubes (see Carbon nanotubes, single-walled);;;;
308076-74-6;Silicon carbide, fibrous;2B;111;In prep.;
409-21-2;Silicon carbide whiskers;2A;111;In prep.;
xxx;Acheson process, occupational exposure associated with;1;111;In prep.;
xxx;Acid mists, strong inorganic;1;54, 100F;2012;
xxx;Acrylic fibres;3;19, Sup 7;1987;
xxx;Acrylonitrile-butadiene-styrene copolymers;3;19, Sup 7;1987;
xxx;Alcoholic beverages;1;44, 96, 100E;2012;
xxx;<i>Aloe vera</i>, whole leaf extract;2B;108;2016;
xxx;Alpha particles (see Radionuclides);;;;
xxx;Aluminium production;1;34, Sup 7, 92, 100F;2012;
xxx;Anaesthetics, volatile;3;11, Sup 7;1987;
xxx;Androgenic (anabolic) steroids;2A;Sup 7;1987;
xxx;Areca nut;1;85, 100E;2012;
xxx;Art glass, glass containers and pressed ware (manufacture of);2A;58;1993;
xxx;Auramine production;1;Sup 7, 99, 100F;2012;
xxx;Benzidine, dyes metabolized to;1;99, 100F;2012;NB: Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
xxx;Beta particles (see Radionuclides);;;;
xxx;Betel quid with tobacco;1;Sup 7, 85, 100E;2012;
xxx;Betel quid without tobacco;1;Sup 7, 85, 100E;2012;
xxx;Biomass fuel (primarily wood), indoor emissions from household combustion of;2A;95;2010;
xxx;Bisulfites;3;54;1992;
xxx;Bitumens, occupational exposure to hard bitumens and their emissions during mastic asphalt work;2B;103;2013;
xxx;BK polyomavirus (BKV);2B;104;2013;
xxx;Boot and shoe manufacture and repair (see Leather dust, Benzene);;25, Sup 7;1987;
xxx;Bracken fern;2B;40, Sup 7;1987;
xxx;Calcium carbide production;3;92;2010;
xxx;Carbon electrode manufacture;2A;92;2010;
xxx;Carpentry and joinery;2B;25, Sup 7;1987;
xxx;Ceramic implants;3;74;1999;
xxx;Chimney sweeping (see Soot);;92;2010;
xxx;Chlorinated drinking-water;3;52;1991;
xxx;Chlorinated paraffins of average carbon chain length C12 and average degree of chlorination approximately 60%;2B;48;1990;
xxx;Chlorophenols (see Polychlorophenols);;;;
xxx;Chlorophenoxy herbicides;2B;41, Sup 7;1987;
xxx;<i>Clonorchis sinensis</i> (infection with);1;61, 100B;2012;
xxx;Coal dust;3;68;1997;
xxx;Coal gasification;1;Sup 7, 92, 100F;2012;
xxx;Coal, indoor emissions from household combustion of;1;95, 100E;2012;
xxx;Coffee (drinking);3;51, 116;In prep.;NB: There is <i>evidence suggesting lack of carcinogenicity</i> in humans of coffee drinking for cancers of the pancreas, liver, female breast, uterine endometrium, and prostate.  Inverse associations with coffee drinking have been observed with cancers of the liver and uterine endometrium. 
xxx;Coke production;1;Sup 7, 92, 100F;2012;
xxx;Continuous glass filament (see Glass filament);;;;
xxx;Dental materials;3;74;1999;
xxx;Diesel engine exhaust (see Engine exhaust, diesel);;;;
xxx;Diesel fuel, marine;2B;45;1989;NB: Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data
xxx;Diesel fuels, distillate (light);3;45;1989;
xxx;Dry cleaning (occupational exposures in);2B;63;1995;
xxx;Dyes metabolized to benzidine (see Benzidine, dyes metabolized to);;;;
xxx;Electric fields, extremely low-frequency;3;80;2002;
xxx;Electric fields, static;3;80;2002;
xxx;Engine exhaust, diesel;1;46, 105;2013;
xxx;Engine exhaust, gasoline;2B;46, 105;2013;
xxx;Epstein-Barr virus;1;70, 100B;2012;
xxx;Estrogen therapy, postmenopausal;1;72, 100A;2012;
xxx;Estrogen-progestogen menopausal therapy (combined);1;72, 91, 100A;2012;
xxx;Estrogen-progestogen oral contraceptives (combined);1;72, 91, 100A;2012;NB: There is also convincing evidence in humans that these agents confer a protective effect against cancer in the endometrium and ovary
xxx;Firefighter (occupational exposure as a);2B;98;2010;
xxx;Fission products, including strontium-90;1;100D;2012;
xxx;Flat-glass and specialty glass (manufacture of);3;58;1993;
xxx;Fluorescent lighting;3;55;1992;
xxx;Fluoro-edenite fibrous amphibole;1;111;In prep.;
xxx;Foreign  bodies (see Ceramic implants, Dental materials, Implanted foreign bodies, Metallic implants, Organic polymeric materials, Orthopaedic implants, Polymeric implants, Silicone breast implants);;;;
xxx;;2A;95;2010;
xxx;Fuel oils, distillate (light);3;45;1989;
xxx;Fuel oils, residual (heavy);2B;45;1989;
xxx;Furniture and cabinet making (see Wood dust);;25, Sup 7;1987;
xxx;<i>Fusarium graminearum</i>, <i>F. culmorum</i>, and <i>F. crookwellense</i>, toxins derived from (zearalenone, deoxynivalenol, nivalenol, and fusarenone X);3;Sup 7, 56;1993;
xxx;<i>Fusarium sporotrichioides</i>, toxins derived from (T-2 toxin);3;56;1993;
xxx;Gamma-Radiation (see X- and Gamma-Radiation);;;;
xxx;Gasoline;2B;45;1989;NB: Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data
xxx;Gasoline engine exhaust (see Engine exhaust, gasoline);;;;
xxx;Glass filament, continuous;3;43, 81;2002;
xxx;Goldenseal root powder;2B;108;2016;
xxx;Haematite mining (underground);1;1, Sup 7, 100D;2012;
xxx;Hair colouring products (personal use of);3;57, 99;2010;
xxx;Hairdresser or barber (occupational exposure as a);2A;57, 99;2010;
xxx;<i>Helicobacter pylori</i> (infection with);1;61, 100B;2012;
xxx;Hepatitis B virus (chronic infection with);1;59, 100B;2012;
xxx;Hepatitis C virus (chronic infection with);1;59, 100B;2012;
xxx;Hepatitis D virus;3;59;1994;
xxx;Hexachlorocyclohexanes;2B;20, Sup 7;1987;
xxx;High-temperature frying (see Frying);;;;
xxx;Household combustion of biomass fuel (see Biomass fuel, indoor emissions from household combustion of);;;;
xxx;Household combustion of coal (see Coal, indoor emissions from household combustion);;;;
xxx;Human herpesvirus type 4 (see Epstein-Barr virus);;;;
xxx;Human herpesvirus type 8 (see Kaposi sarcoma herpesvirus);;;;
xxx;Human immunodeficiency virus type 1 (infection with);1;67, 100B;2012;
xxx;Human immunodeficiency virus type 2 (infection with);2B;67;1996;
xxx;Human papillomavirus genus beta (except types 5 and 8) and genus gamma;3;90, 100B;2012;
xxx;Human papillomavirus type 68;2A;100B;2012;
xxx;Human papillomavirus types 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59;1;64, 90, 100B;2012;NB: The HPV types that have been classified as carcinogenic to humans can differ by an order of magnitude in risk for cervical cancer
xxx;Human papillomavirus types 26, 53, 66, 67, 70, 73, 82;2B;100B;2012;
xxx;Human papillomavirus types 30, 34, 69, 85, 97;2B;100B;2012;NB: Classified by phylogenetic analogy to the HPV genus alpha types classified in Group 1
xxx;Human papillomavirus types 5 and 8 (in patients with epidermodysplasia verruciformis);2B;100B;2012;
xxx;Human papillomavirus types 6 and 11;3;90, 100B;2012;
xxx;Human T-cell lymphotropic virus type I;1;67, 100B;2012;
xxx;Human T-cell lymphotropic virus type II;3;67;1996;
xxx;Hypochlorite salts;3;52;1991;
xxx;Implanted foreign bodies of metallic chromium or titanium and of cobalt-based, chromium-based, and titanium-based alloys, stainless steel and depleted uranium ;3;74;1999;
xxx;Implanted foreign bodies of metallic cobalt, metallic nickel and an alloy powder containing 66-67% nickel, 13-16% chromium, and 7% iron;2B;74;1999;
xxx;Insulation glass wool;3;43, 81;2002;
xxx;Involuntary smoking (see Tobacco smoke, second-hand);;;;
xxx;Ionizing radiation (all types);1;100D;2012;
xxx;Iron and steel founding (occupational exposure during);1;34, Sup 7, 100F;2012;
xxx;Isopropyl alcohol manufacture using strong acids;1;Sup 7, 100F;2012;
xxx;Isopropyl oils;3;15, Sup 7, 71;1999;
xxx;JC polyomavirus (JCV);2B;104;2013;
xxx;Jet fuel;3;45;1989;
xxx;Kaposi sarcoma herpesvirus;1;70, 100B;2012;
xxx;Lead compounds, inorganic;2A;Sup 7, 87;2006;
xxx;Lead compounds, organic;3;23, Sup 7, 87;2006;NB: Organic lead compounds are metabolized at least in part, to ionic lead both in humans and animals. To the extent that ionic lead, generated from organic lead, is present in the body, it will be expected to exert the toxicities associated with inorganic lead
xxx;Leather dust;1;100C;2012;
xxx;Leather goods manufacture;3;25, Sup 7;1987;
xxx;Leather tanning and processing;3;25, Sup 7;1987;
xxx;Lumber and sawmill industries (including logging);3;25, Sup 7;1987;
xxx;Madder root (<i>Rubia tinctorum</i>);3;82;2002;
xxx;Magenta production;1;Sup 7, 57, 99, 100F;2012;
xxx;Magnetic fields, extremely low-frequency;2B;80;2002;
xxx;Magnetic fields, static;3;80;2002;
xxx;Malaria (caused by infection with <i>Plasmodium falciparum</i> in holoendemic areas);2A;104;2013;
xxx;Mate, not very hot (drinking);3;51, 116;In prep.;
xxx;Mate, hot (see Very hot beverages);;;;
xxx;Merkel cell polyomavirus (MCV);2A;104;2013;
xxx;Metabisulfites;3;54;1992;
xxx;Metallic implants prepared as thin smooth films;2B;74;1999;
xxx;Methylmercury compounds;2B;58;1993;NB: Evaluated as a group
xxx;<i>Microcystis</i> extracts;3;94;2010;
xxx;Mineral oils, highly-refined;3;33, Sup 7;1987;
xxx;Mineral oils, untreated or mildly treated;1;33, Sup 7, 100F;2012;
xxx;Modacrylic fibres;3;19, Sup 7;1987;
xxx;MOPP and other combined chemotherapy including alkylating agents;1;Sup 7, 100A;2012;
xxx;Neutron radiation;1;75, 100D;2012;NB: Overall evaluation upgraded to Group 1 with supporting evidence from other relevant data
xxx;Nickel compounds;1;Sup 7, 49, 100C;2012;
xxx;Nickel refining (see Nickel compounds);;11;1976;
xxx;Nitrate or nitrite (ingested) under conditions that result in endogenous nitrosation;2A;94;2010;
xxx;Non-arsenical insecticides (occupational exposures in spraying and application of);2A;53;1991;
xxx;Oestrogen (see Estrogen);;;;
xxx;<i>Opisthorchis felineus</i> (infection with);3;61;1994;
xxx;<i>Opisthorchis viverrini</i> (infection with);1;61, 100B;2012;
xxx;Oral contraceptives, combined estrogen-progestogen (see Estrogen-progestogen oral contraceptives);;;;
xxx;Organic polymeric materials;3;74;1999;
xxx;Orthopaedic implants of complex composition and cardiac pacemakers;3;74;1999;
xxx;Outdoor air pollution;1;109;2016;
xxx;Outdoor air pollution, particulate matter in;1;109;2016;
xxx;Paint manufacture (occupational exposure in);3;47;1989;
xxx;Painter (occupational exposure as a);1;47, 98, 100F;2012;
xxx;Particulate matter in outdoor air pollution (see Outdoor air pollution, particulate matter in);;;;
xxx;Paving and roofing with coal-tar pitch (see Coal-tar pitch);;35, Sup 7, 92, 100F;2010;
xxx;Petroleum refining (occupational exposures in);2A;45;1989;
xxx;Petroleum solvents;3;47;1989;
xxx;Phenacetin, analgesic mixtures containing;1;Sup 7, 100A;2012;
xxx;Pickled vegetables (traditional Asian);2B;56;1993;
xxx;Polychlorinated biphenyls, dioxin-like, with a Toxicity Equivalency Factor (TEF) according to WHO (PCBs 77, 81, 105, 114, 118, 123, 126, 156, 157, 167, 169, 189);1;107;2016;NB: Overall evaluation upgraded to Group 1 with strong supporting evidence from other relevant data
xxx;Polychlorinated dibenzofurans (see 2,3,4,7,8-Pentachlorodibenzofuran);3;69;1997;
xxx;Polychlorinated dibenzo-<i>para</i>-dioxins (other than 2,3,7,8-tetrachlorodibenzo-<i>para</i>-dioxin);3;69;1997;
xxx;"Polychlorophenols and their sodium salts (mixed exposures) (see Pentachlorophenol; 2,4,6-Trichlorophenol )";2B;53, 71;1999;
xxx;Polymeric implant prepared as thin smooth films (with the exception of poly-glycolic acid);2B;74;1999;
xxx;Printing inks;3;65;1996;
xxx;Printing processes (occupational exposures in);2B;65;1996;
xxx;Processed meat (consumption of);1;114;In prep.;
xxx;Proflavine salts;3;24, Sup 7;1987;
xxx;Progestins;2B;Sup 7;1987;
xxx;Progestogen-only contraceptives;2B;72;1999;
xxx;Pulp and paper manufacture;3;25, Sup 7;1987;
xxx;Radiofrequency electromagnetic fields;2B;102;2013;
xxx;Radioiodines, including iodine-131;1;78, 100D;2012;
xxx;Radionuclides, alpha-particle-emitting, internally deposited;1;78, 100D;2012;NB: Specific radionuclides for which there is sufficient evidence in humans are also listed individually as Group 1 agents
xxx;Radionuclides, beta-particle-emitting, internally deposited;1;78, 100D;2012;NB: Specific radionuclides for which there is sufficient evidence in humans are also listed individually as Group 1 agents
xxx;Red meat (consumption of);2A;114;In prep.;
xxx;Refractory ceramic fibres;2B;43, 81;2002;
xxx;Rock (stone) wool;3;43, 81;2002;
xxx;Rubber manufacturing industry;1;28, Sup 7, 100F;2012;
xxx;Salted fish, Chinese-style;1;56, 100E;2012;
xxx;<i>Schistosoma haematobium</i> (infection with);1;61, 100B;2012;
xxx;<i>Schistosoma japonicum</i> (infection with);2B;61;1994;
xxx;<i>Schistosoma mansoni</i> (infection with);3;61;1994;
xxx;Shiftwork that involves circadian disruption;2A;98;2010;
xxx;Silicone breast implants;3;74;1999;
xxx;Slag wool;3;43, 81;2002;
xxx;Solar radiation;1;55, 100D;2012;
xxx;Soot (as found in occupational exposure of chimney sweeps);1;35, Sup 7, 92, 100F;2012;
xxx;Special-purpose fibres such as E-glass and '475' glass fibres;2B;81;2002;
xxx;Sulfites;3;54;1992;
xxx;Sunlamps and sunbeds (see Ultraviolet-emitting tanning devices);;;;
xxx;Surgical implants (see Ceramic implants, Dental materials, Implanted foreign bodies, Metallic implants, Organic polymeric materials, Orthopaedic implants, Polymeric implants, Silicone breast implants);;;;
xxx;SV40 polyomavirus ;3;104;2013;
xxx;Tea;3;51;1991;
xxx;Tetrakis(hydroxymethyl)phosphonium salts;3;48, 71;1999;
xxx;Textile manufacturing industry (work in);2B;48;1990;
xxx;Tobacco smoke, second-hand;1;83, 100E;2012;
xxx;Tobacco smoking;1;83, 100E;2012;
xxx;Tobacco, smokeless;1;Sup 7, 89, 100E;2012;
xxx;Toxins derived from certain <i>Fusarium</i> species (see <i>Fusarium</i>);;;;
xxx;Ultraviolet radiation (wavelengths 100-400 nm, encompassing UVA, UVB, and UVC);1;55, 100D;2012;
xxx;Ultraviolet-emitting tanning devices;1;100D;2012;
xxx;Urethane (see Ethyl carbamate);;;;
xxx;Very hot beverages at above 65 °C (drinking);2A;116;In prep.;
xxx;Welding fumes;2B;49;1990;NB: Volume 100D concluded that there is sufficient evidence for ocular melanoma in welders
xxx;Wood dust;1;62, 100C;2012;
xxx;Wood smoke (see Biomass fuel, indoor emissions from household combustion);;;;
xxx;X- and Gamma-Radiation;1;75, 100D;2012;
